Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51003e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76543e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77487e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
4,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06316e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
6,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23526e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
7,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39582e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
8,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53071e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
9,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65951e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79637e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92729e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04559e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
