Step,Time (s),WeightedTransitionRegimeCoagulation (1/cm3s),Err
0,0,5.62442e+16,0
1,0.01,5.39166e+16,0
2,0.02,5.18242e+16,0
3,0.03,5.00226e+16,0
4,0.04,4.82703e+16,0
5,0.05,4.65569e+16,0
6,0.06,4.50518e+16,0
7,0.07,4.3647e+16,0
8,0.08,4.24689e+16,0
9,0.09,4.13317e+16,0
10,0.1,4.01495e+16,0
11,0.11,3.89494e+16,0
12,0.12,3.79603e+16,0
13,0.13,3.69365e+16,0
14,0.14,3.60944e+16,0
15,0.15,3.54013e+16,0
16,0.16,3.46201e+16,0
17,0.17,3.41324e+16,0
18,0.18,3.33001e+16,0
19,0.19,3.27767e+16,0
20,0.2,3.22838e+16,0
21,0.21,3.17558e+16,0
22,0.22,3.12404e+16,0
23,0.23,3.08632e+16,0
24,0.24,3.05613e+16,0
25,0.25,3.00919e+16,0
26,0.26,2.98176e+16,0
27,0.27,2.94629e+16,0
28,0.28,2.91997e+16,0
29,0.29,2.88082e+16,0
30,0.3,2.86538e+16,0
31,0.31,2.8316e+16,0
32,0.32,2.78904e+16,0
33,0.33,2.75395e+16,0
34,0.34,2.72552e+16,0
35,0.35,2.69023e+16,0
36,0.36,2.66999e+16,0
37,0.37,2.64606e+16,0
38,0.38,2.62288e+16,0
39,0.39,2.59961e+16,0
40,0.4,2.57493e+16,0
41,0.41,2.55073e+16,0
42,0.42,2.52379e+16,0
43,0.43,2.50608e+16,0
44,0.44,2.49523e+16,0
45,0.45,2.47537e+16,0
46,0.46,2.47531e+16,0
47,0.47,2.45696e+16,0
48,0.48,2.43755e+16,0
49,0.49,2.41912e+16,0
50,0.5,2.39494e+16,0
51,0.51,2.35656e+16,0
52,0.52,2.34157e+16,0
53,0.53,2.32039e+16,0
54,0.54,2.3114e+16,0
55,0.55,2.3003e+16,0
56,0.56,2.27111e+16,0
57,0.57,2.26977e+16,0
58,0.58,2.25565e+16,0
59,0.59,2.23629e+16,0
60,0.6,2.22736e+16,0
61,0.61,2.21706e+16,0
62,0.62,2.20371e+16,0
63,0.63,2.18822e+16,0
64,0.64,2.17074e+16,0
65,0.65,2.15065e+16,0
66,0.66,2.14197e+16,0
67,0.67,2.12301e+16,0
68,0.68,2.11467e+16,0
69,0.69,2.09045e+16,0
70,0.7,2.07976e+16,0
71,0.71,2.06165e+16,0
72,0.72,2.05058e+16,0
73,0.73,2.03825e+16,0
74,0.74,2.03488e+16,0
75,0.75,2.01687e+16,0
76,0.76,1.9976e+16,0
77,0.77,1.97901e+16,0
78,0.78,1.96765e+16,0
79,0.79,1.9445e+16,0
80,0.8,1.94098e+16,0
81,0.81,1.93817e+16,0
82,0.82,1.93297e+16,0
83,0.83,1.92228e+16,0
84,0.84,1.90874e+16,0
85,0.85,1.89429e+16,0
86,0.86,1.89483e+16,0
87,0.87,1.8756e+16,0
88,0.88,1.86498e+16,0
89,0.89,1.86149e+16,0
90,0.9,1.83358e+16,0
91,0.91,1.81681e+16,0
92,0.92,1.81627e+16,0
93,0.93,1.81405e+16,0
94,0.94,1.81081e+16,0
95,0.95,1.78771e+16,0
96,0.96,1.76989e+16,0
97,0.97,1.75755e+16,0
98,0.98,1.75143e+16,0
99,0.99,1.74601e+16,0
100,1,1.7381e+16,0
