Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err,Avg. Si:O ratio (-),Err
0,0,4096,0,3e+15,0,5.71186e-09,0,5.71186e-09,0,5.71186e-09,0,0.307486,0,1.02495e-16,0,2.9272e-10,0,9.75734e-26,0,6.43984e-07,0,2.14661e-22,0,1.38239e-28,0,2.96745e-50,0,0,0,0,0,6.321e+12,0,2107,0,6.321e+12,0,1.188e+13,0,1.194e+12,0,1,0,5.71186,0,0,0,2.14661e-22,0,0,0,0,0,0,0,0.483479,0
1,0.01,4096,0,2.82135e+15,0,5.80267e-09,0,5.80267e-09,0,5.80267e-09,0,0.299675,0,1.06217e-16,0,2.92517e-10,0,1.0368e-25,0,6.43537e-07,0,2.28096e-22,0,1.55707e-28,0,4.18579e-50,0,0.062066,0,3,0,6.321e+12,0,2240.42,0,6.321e+12,0,1.18949e+13,0,1.16413e+12,0,1,0,5.80267,0,0,0,2.28096e-22,0,0,0,0.01,0,0,0,0.483757,0
2,0.02,4096,0,2.66484e+15,0,5.88915e-09,0,5.88915e-09,0,5.88915e-09,0,0.292648,0,1.09818e-16,0,2.92334e-10,0,1.097e-25,0,6.43135e-07,0,2.41341e-22,0,1.72863e-28,0,5.5148e-50,0,0.120964,0,4,0,6.321e+12,0,2372,0,6.321e+12,0,1.19083e+13,0,1.13725e+12,0,1,0,5.88915,0,0,0,2.41341e-22,0,0,0,0.02,0,0,0,0.484017,0
3,0.03,4096,0,2.53179e+15,0,5.96794e-09,0,5.96801e-09,0,5.96801e-09,0,0.286504,0,1.13162e-16,0,2.92174e-10,0,1.15402e-25,0,6.42783e-07,0,2.53884e-22,0,1.89413e-28,0,6.94932e-50,0,0.175115,0,4,0,6.321e+12,0,2496.65,0,6.321e+12,0,1.19201e+13,0,1.11373e+12,0,1.00009,0,5.96772,0,4.36016e-05,0,2.53884e-22,0,9.17713e-19,0,0.03,0,0,0,0.484246,0
4,0.04,4096,0,2.40339e+15,0,6.04917e-09,0,6.0495e-09,0,6.0495e-09,0,0.280425,0,1.16679e-16,0,2.92015e-10,0,1.21501e-25,0,6.42434e-07,0,2.67303e-22,0,2.07463e-28,0,8.69324e-50,0,0.229155,0,5,0,6.321e+12,0,2630.04,0,6.321e+12,0,1.19317e+13,0,1.09045e+12,0,1.00033,0,6.04837,0,0.000133454,0,2.67303e-22,0,1.17559e-17,0,0.04,0,0,0,0.484477,0
5,0.05,4096,0,2.27865e+15,0,6.13418e-09,0,6.13507e-09,0,6.13507e-09,0,0.274414,0,1.20428e-16,0,2.91858e-10,0,1.28084e-25,0,6.42088e-07,0,2.81784e-22,0,2.27117e-28,0,1.08491e-49,0,0.285917,0,5,0,6.321e+12,0,2774.01,0,6.321e+12,0,1.19431e+13,0,1.06741e+12,0,1.00077,0,6.1323,0,0.000267155,0,2.81784e-22,0,1.91251e-17,0,0.05,0,0,0,0.484713,0
6,0.06,4096,0,2.16897e+15,0,6.21332e-09,0,6.21509e-09,0,6.21509e-09,0,0.268976,0,1.24011e-16,0,2.91716e-10,0,1.34495e-25,0,6.41775e-07,0,2.9589e-22,0,2.46889e-28,0,1.31821e-49,0,0.33823,0,6,0,6.321e+12,0,2914.29,0,6.321e+12,0,1.19535e+13,0,1.04655e+12,0,1.00153,0,6.20952,0,0.000494604,0,2.9589e-22,0,1.58395e-17,0,0.06,0,0,0,0.484925,0
7,0.07,4096,0,2.06482e+15,0,6.29405e-09,0,6.29794e-09,0,6.29794e-09,0,0.263832,0,1.27775e-16,0,2.91581e-10,0,1.41214e-25,0,6.41479e-07,0,3.1067e-22,0,2.67556e-28,0,1.58591e-49,0,0.390634,0,7,0,6.321e+12,0,3061.28,0,6.321e+12,0,1.19633e+13,0,1.0268e+12,0,1.0034,0,6.28553,0,0.001103,0,3.1067e-22,0,4.29065e-17,0,0.07,0,0,0,0.485135,0
8,0.08,4096,0,1.98291e+15,0,6.36268e-09,0,6.36767e-09,0,6.36767e-09,0,0.25968,0,1.30959e-16,0,2.91472e-10,0,1.46992e-25,0,6.41239e-07,0,3.23382e-22,0,2.84495e-28,0,1.81483e-49,0,0.436308,0,8,0,6.321e+12,0,3187.73,0,6.321e+12,0,1.19713e+13,0,1.01083e+12,0,1.00448,0,6.35141,0,0.0015133,0,3.23382e-22,0,4.5696e-18,0,0.08,0,0,0,0.485314,0
9,0.09,4096,0,1.90165e+15,0,6.4345e-09,0,6.4418e-09,0,6.4418e-09,0,0.255574,0,1.34396e-16,0,2.91364e-10,0,1.53216e-25,0,6.41001e-07,0,3.37076e-22,0,3.03012e-28,0,2.08082e-49,0,0.482253,0,8,0,6.321e+12,0,3323.96,0,6.321e+12,0,1.19792e+13,0,9.94941e+11,0,1.00652,0,6.4181,0,0.00213198,0,3.37076e-22,0,8.29377e-18,0,0.09,0,0,0,0.485495,0
10,0.1,4096,0,1.82216e+15,0,6.51071e-09,0,6.52005e-09,0,6.52005e-09,0,0.251506,0,1.38026e-16,0,2.91257e-10,0,1.59841e-25,0,6.40765e-07,0,3.51651e-22,0,3.21554e-28,0,2.35933e-49,0,0.533016,0,9,0,6.321e+12,0,3468.96,0,6.321e+12,0,1.1987e+13,0,9.79213e+11,0,1.00838,0,6.48977,0,0.002724,0,3.51651e-22,0,2.25724e-17,0,0.1,0,0,0,0.485689,0
11,0.11,4096,0,1.73994e+15,0,6.59553e-09,0,6.60885e-09,0,6.60885e-09,0,0.247389,0,1.42182e-16,0,2.91148e-10,0,1.67332e-25,0,6.40525e-07,0,3.6813e-22,0,3.42338e-28,0,2.69011e-49,0,0.588132,0,9,0,6.321e+12,0,3632.88,0,6.321e+12,0,1.19949e+13,0,9.63267e+11,0,1.01206,0,6.56539,0,0.00390911,0,3.6813e-22,0,2.45891e-17,0,0.11,0,0,0,0.4859,0
12,0.12,4096,0,1.66853e+15,0,6.67247e-09,0,6.69108e-09,0,6.69108e-09,0,0.243813,0,1.46124e-16,0,2.91053e-10,0,1.74436e-25,0,6.40316e-07,0,3.8376e-22,0,3.62932e-28,0,3.04735e-49,0,0.638338,0,9,0,6.321e+12,0,3788.36,0,6.321e+12,0,1.20019e+13,0,9.49355e+11,0,1.01663,0,6.63065,0,0.00535644,0,3.8376e-22,0,4.59241e-17,0,0.12,0,0,0,0.486082,0
13,0.13,4096,0,1.59393e+15,0,6.75642e-09,0,6.78132e-09,0,6.78132e-09,0,0.239967,0,1.5055e-16,0,2.9095e-10,0,1.82536e-25,0,6.4009e-07,0,4.01579e-22,0,3.87162e-28,0,3.49663e-49,0,0.691876,0,9,0,6.321e+12,0,3965.66,0,6.321e+12,0,1.20093e+13,0,9.34331e+11,0,1.02174,0,6.70195,0,0.00669001,0,4.01579e-22,0,8.6724e-17,0,0.13,0,0,0,0.486273,0
14,0.14,4096,0,1.52965e+15,0,6.83303e-09,0,6.86506e-09,0,6.86506e-09,0,0.23668,0,1.54728e-16,0,2.90861e-10,0,1.90148e-25,0,6.39895e-07,0,4.18327e-22,0,4.10708e-28,0,3.98415e-49,0,0.741576,0,9,0,6.321e+12,0,4132.31,0,6.321e+12,0,1.20157e+13,0,9.21385e+11,0,1.02764,0,6.76447,0,0.00814345,0,4.18327e-22,0,4.59888e-17,0,0.14,0,0,0,0.486444,0
15,0.15,4096,0,1.47696e+15,0,6.90083e-09,0,6.94032e-09,0,6.94032e-09,0,0.23408,0,1.58487e-16,0,2.90788e-10,0,1.96883e-25,0,6.39734e-07,0,4.33142e-22,0,4.30791e-28,0,4.42365e-49,0,0.786879,0,9,0,6.321e+12,0,4279.73,0,6.321e+12,0,1.2021e+13,0,9.10699e+11,0,1.03312,0,6.81841,0,0.00945328,0,4.33142e-22,0,6.46927e-17,0,0.15,0,0,0,0.486596,0
16,0.16,4096,0,1.42296e+15,0,6.97284e-09,0,7.01937e-09,0,7.01937e-09,0,0.231223,0,1.62494e-16,0,2.90711e-10,0,2.043e-25,0,6.39565e-07,0,4.4946e-22,0,4.52445e-28,0,4.8816e-49,0,0.833354,0,9,0,6.321e+12,0,4442.14,0,6.321e+12,0,1.20266e+13,0,8.99468e+11,0,1.03928,0,6.87563,0,0.0111771,0,4.4946e-22,0,3.9961e-17,0,0.16,0,0,0,0.48675,0
17,0.17,4096,0,1.37884e+15,0,7.0295e-09,0,7.08496e-09,0,7.08496e-09,0,0.228905,0,1.66012e-16,0,2.90648e-10,0,2.10791e-25,0,6.39426e-07,0,4.6374e-22,0,4.75525e-28,0,5.43861e-49,0,0.870207,0,9,0,6.321e+12,0,4584.27,0,6.321e+12,0,1.20311e+13,0,8.90259e+11,0,1.0462,0,6.91605,0,0.0126117,0,4.6374e-22,0,4.92899e-17,0,0.17,0,0,0,0.486856,0
18,0.18,4096,0,1.32355e+15,0,7.11287e-09,0,7.17762e-09,0,7.17762e-09,0,0.226019,0,1.70767e-16,0,2.90569e-10,0,2.19538e-25,0,6.39251e-07,0,4.82983e-22,0,4.99537e-28,0,5.98714e-49,0,0.92208,0,10,0,6.321e+12,0,4775.8,0,6.321e+12,0,1.20368e+13,0,8.78691e+11,0,1.05393,0,6.98129,0,0.0146474,0,4.82983e-22,0,6.37019e-17,0,0.18,0,0,0,0.487033,0
19,0.19,4096,0,1.28029e+15,0,7.17794e-09,0,7.25317e-09,0,7.25317e-09,0,0.223805,0,1.74808e-16,0,2.90507e-10,0,2.26907e-25,0,6.39115e-07,0,4.99195e-22,0,5.23785e-28,0,6.64513e-49,0,0.962968,0,10,0,6.321e+12,0,4937.16,0,6.321e+12,0,1.20413e+13,0,8.69697e+11,0,1.06171,0,7.02747,0,0.0162204,0,4.99195e-22,0,1.17777e-16,0,0.19,0,0,0,0.48716,0
20,0.2,4096,0,1.24149e+15,0,7.23943e-09,0,7.32435e-09,0,7.32435e-09,0,0.221775,0,1.78637e-16,0,2.9045e-10,0,2.33954e-25,0,6.38991e-07,0,5.14698e-22,0,5.46788e-28,0,7.30262e-49,0,1.00173,0,10,0,6.321e+12,0,5091.47,0,6.321e+12,0,1.20453e+13,0,8.61507e+11,0,1.06988,0,7.07001,0,0.0182033,0,5.14698e-22,0,6.57121e-17,0,0.2,0,0,0,0.487279,0
