Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),silica,Number of Si Atoms,Number of O Atoms,Number of OH Atoms,Number of Primaries,Avg. Primary Diameter,Avg. Sintering Level,Avg. Si:O Ratio
14648.4,20.9487,33.9632,33.9632,2.84604e-11,4.81359e-18,1.05899e-17,1,0.02,9,105350,11705.6,22491.6,1184.89,9,9.63998,0.00706958,0.494397
91552.7,11.3758,12.7327,12.7327,4.81419e-12,7.70799e-19,1.69576e-18,1,0.125,4,16856,8428,16188,883,2,8.75282,0.246132,0.493703
48828.1,14.0279,16.5811,16.5811,7.94451e-12,1.44535e-18,3.17977e-18,1,0.0666667,5,31605,10535,20233.3,1108,3,9.69736,0.276523,0.493643
10172.5,23.6509,38.0189,38.0189,3.58158e-11,6.92697e-18,1.52393e-17,1,0.0138889,6,151704,11669.5,22456.8,1121.23,13,9.79267,0.113726,0.494933
36621.1,15.4354,20.5374,20.5374,1.14875e-11,1.92553e-18,4.23616e-18,1,0.05,7,42140,10535,20258,1053.5,4,9.33847,0.05838,0.494334
18310.5,19.4407,27.171,27.171,1.96185e-11,3.84708e-18,8.46359e-18,1,0.025,14,84280,10535,20253.2,1019.25,8,9.4794,0.210421,0.49524
24414.1,17.6724,25.2527,25.2527,1.67595e-11,2.88993e-18,6.35784e-18,1,0.0333333,7,63210,12642,24294.4,1304,5,10.2389,0.00152924,0.493859
366211,7.18277,7.18277,7.18277,1.62082e-12,1.94033e-19,4.26872e-19,1,0.5,1,4214,4214,8002,632,1,7.18277,0,0.48807
13563.4,21.4928,33.8444,33.8444,2.86765e-11,5.19852e-18,1.14368e-17,1,0.0185185,14,113778,12642,24308.2,1262,9,10.1415,0.0487628,0.494403
20345.1,18.7666,27.8734,27.8734,2.00275e-11,3.46062e-18,7.61337e-18,1,0.0277778,6,75852,10836,20877.1,986.286,7,9.3306,0.062214,0.495622
366211,7.18277,7.18277,7.18277,1.62082e-12,1.94033e-19,4.26872e-19,1,0.5,1,4214,4214,8002,632,1,7.18277,0,0.48807
732422,5.71186,5.71186,5.71186,1.02495e-12,9.75734e-20,2.14661e-19,1,1,0,2107,2107,3960,398,1,5.71186,0,0.483479
14648.4,20.9367,32.5216,32.5216,2.666e-11,4.80531e-18,1.05717e-17,1,0.02,9,105350,13168.8,25378.5,1181.25,8,10.3779,0.0330799,0.495816
56340.1,13.3632,16.5755,16.5755,7.75003e-12,1.24947e-18,2.74884e-18,1,0.0769231,6,27391,9130.33,17576,840,3,8.71755,0.0995195,0.495783
25255.9,17.4739,24.7275,24.7275,1.61479e-11,2.79363e-18,6.146e-18,1,0.0344828,7,61103,10183.8,19552.3,1068,6,9.10432,0.0972208,0.493873
81380.2,11.831,13.3971,13.3971,5.29876e-12,8.6708e-19,1.90758e-18,1,0.111111,6,18963,9481.5,18191,1010,2,9.26999,0.175379,0.493802
8931.97,24.6969,39.4756,39.4756,3.87225e-11,7.88722e-18,1.73519e-17,1,0.0121951,9,172774,11518.3,22157.6,1104.8,15,9.73014,0.150315,0.495145
146484,9.72947,9.72947,9.72947,2.97392e-12,4.82245e-19,1.06094e-18,1,0.2,3,10535,10535,20212,1164,1,9.72947,0,0.492842
104632,10.8852,11.6427,11.6427,4.11764e-12,6.75319e-19,1.4857e-18,1,0.142857,3,14749,7374.5,14130,839,2,8.45155,0.534715,0.492651
15258.8,20.6607,30.4088,30.4088,2.39454e-11,4.61782e-18,1.01592e-17,1,0.0208333,10,101136,11237.3,21616.9,1086,9,9.53274,0.152704,0.494974
8616.73,24.9956,40.1899,40.1899,4.00181e-11,8.17692e-18,1.79892e-17,1,0.0117647,10,179095,11193.4,21536.2,1075.88,16,9.50761,0.155233,0.495019
34877.2,15.6908,21.2201,21.2201,1.21645e-11,2.02272e-18,4.44998e-18,1,0.047619,3,44247,8849.4,16998.4,916.4,5,8.63715,0.12292,0.493971
48828.1,14.0227,17.9003,17.9003,8.90955e-12,1.44377e-18,3.17629e-18,1,0.0666667,4,31605,10535,20241.3,1059.33,3,9.20929,0,0.494585
91552.7,11.3766,12.5356,12.5356,4.70298e-12,7.7096e-19,1.69611e-18,1,0.125,4,16856,8428,16183,894,2,8.96588,0.343515,0.493529
11625.7,22.6248,37.3136,37.3136,3.40598e-11,6.06392e-18,1.33406e-17,1,0.015873,9,132741,11061.8,21262.2,1104.67,12,9.47949,0.0627765,0.49456
11097.3,22.9761,37.9564,37.9564,3.5214e-11,6.35079e-18,1.39717e-17,1,0.0151515,17,139062,12642,24321.5,1228.55,11,9.92021,0.0387347,0.494795
146484,9.72947,9.72947,9.72947,2.97392e-12,4.82245e-19,1.06094e-18,1,0.2,3,10535,10535,20212,1164,1,9.72947,0,0.492842
43083.6,14.6262,18.6706,18.6706,9.69288e-12,1.6383e-18,3.60426e-18,1,0.0588235,4,35819,11939.7,22926,1266.67,3,10.1332,0,0.493524
52315.8,13.7038,16.5453,16.5453,7.82675e-12,1.34747e-18,2.96443e-18,1,0.0714286,6,29498,9832.67,18902,978,3,8.97062,0.197057,0.494601
12006.9,22.3838,37.363,37.363,3.39453e-11,5.87223e-18,1.29189e-17,1,0.0163934,10,128527,11684.3,22457.6,1173.64,11,9.8605,0.0255425,0.494441
91552.7,11.3808,12.7381,12.7381,4.81832e-12,7.71827e-19,1.69802e-18,1,0.125,4,16856,8428,16153,956,2,8.96936,0.246259,0.492606
18780,19.2912,27.064,27.064,1.94275e-11,3.75906e-18,8.26994e-18,1,0.025641,11,82173,10271.6,19714.8,1103.5,8,9.24203,0.2036,0.493395
43083.6,14.6267,18.1975,18.1975,9.32697e-12,1.63845e-18,3.6046e-18,1,0.0588235,6,35819,11939.7,22926.7,1270,3,9.81164,0.0888553,0.493443
48828.1,14.0291,17.9084,17.9084,8.91765e-12,1.44574e-18,3.18062e-18,1,0.0666667,6,31605,10535,20210,1140,3,9.34669,0,0.493443
73242.2,12.2502,13.5914,13.5914,5.50954e-12,9.62554e-19,2.11762e-18,1,0.1,6,21070,7023.33,13490.7,710.667,3,7.91029,0.529395,0.494555
56340.1,13.3725,15.5994,15.5994,7.07808e-12,1.25208e-18,2.75458e-18,1,0.0769231,4,27391,13695.5,26319,1404,2,10.4304,0,0.494012
31844.4,16.1748,21.9007,21.9007,1.29496e-11,2.21574e-18,4.87462e-18,1,0.0434783,6,48461,12115.2,23278,1256,4,10.0793,0.0128185,0.493815
