Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,2.59731e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0389e-05,0,1173,0,1.03892e-05,0,101325,0
1,0.0015,5.46406e-11,0,7.50367e-11,0,1.66278e-11,0,1.48421e-12,0,2.1708e-13,0,8.63175e-11,0,2.29338e-11,0,2.46248e-12,0,2.44217e-15,0,2.35636e-15,0,3.8472e-19,0,9.21255e-28,0,1.84555e-27,0,1.6868e-27,0,9.17748e-28,0,0,0,6.77204e-27,0,2.44236e-15,0,7.8775e-21,0,2.53202e-10,0,3.11246e-27,0,5.26314e-22,0,2.0376e-33,0,5.37644e-32,0,1.48379e-29,0,1.1321e-31,0,1.43972e-28,0,4.79581e-39,0,1.03887e-05,0,1173,0,1.03892e-05,0,101325,0
2,0.003,1.15341e-11,0,6.84144e-11,0,3.64184e-11,0,7.1921e-12,0,1.74798e-12,0,7.45601e-11,0,4.78508e-11,0,1.14242e-11,0,7.77905e-15,0,3.08444e-13,0,1.23387e-18,0,9.52259e-27,0,1.89208e-26,0,1.46397e-26,0,9.40565e-27,0,0,0,4.64147e-26,0,7.77966e-15,0,1.58106e-20,0,3.76664e-10,0,1.57505e-24,0,2.51389e-21,0,1.23542e-31,0,3.72109e-30,0,1.28759e-28,0,3.70232e-30,0,4.15328e-27,0,3.43064e-37,0,1.03886e-05,0,1173,0,1.03892e-05,0,101325,0
3,0.0045,2.43883e-12,0,5.13317e-11,0,4.75328e-11,0,1.53122e-11,0,3.21376e-12,0,5.25703e-11,0,5.92963e-11,0,2.32458e-11,0,1.48301e-14,0,3.49444e-12,0,2.35511e-18,0,3.50621e-26,0,6.89234e-26,0,4.37602e-26,0,3.42346e-26,0,0,0,1.41329e-25,0,1.48313e-14,0,2.61285e-20,0,4.65185e-10,0,3.84056e-23,0,5.9279e-21,0,1.12743e-30,0,3.98022e-29,0,3.84838e-28,0,2.56943e-29,0,2.4783e-26,0,3.78556e-36,0,1.03885e-05,0,1173,0,1.03892e-05,0,101325,0
4,0.006,5.1607e-13,0,3.67233e-11,0,5.12206e-11,0,2.36394e-11,0,4.03409e-12,0,3.5179e-11,0,6.05538e-11,0,3.42669e-11,0,2.32279e-14,0,1.40845e-11,0,3.68865e-18,0,8.71484e-26,0,1.69165e-25,0,8.73681e-26,0,8.39092e-26,0,0,0,3.12999e-25,0,2.32297e-14,0,3.94131e-20,0,5.39621e-10,0,2.73683e-22,0,1.07718e-20,0,4.94337e-30,0,2.06487e-28,0,7.68266e-28,0,9.86805e-29,0,8.1043e-26,0,2.01864e-35,0,1.03884e-05,0,1173,0,1.03892e-05,0,101325,0
5,0.0075,1.09237e-13,0,2.59185e-11,0,5.01578e-11,0,3.08354e-11,0,4.47882e-12,0,2.31715e-11,0,5.61447e-11,0,4.26617e-11,0,3.27886e-14,0,3.35018e-11,0,5.20476e-18,0,1.76108e-25,0,3.37038e-25,0,1.42115e-25,0,1.66837e-25,0,0,0,5.8516e-25,0,3.27912e-14,0,5.5799e-20,0,6.05021e-10,0,1.03119e-21,0,1.70429e-20,0,1.47714e-29,0,7.30043e-28,0,1.24958e-27,0,2.77253e-28,0,1.9371e-25,0,7.30623e-35,0,1.03884e-05,0,1173,0,1.03892e-05,0,101325,0
6,0.009,2.31266e-14,0,1.82194e-11,0,4.64441e-11,0,3.63045e-11,0,4.78307e-12,0,1.51862e-11,0,4.92074e-11,0,4.7935e-11,0,4.33769e-14,0,6.0038e-11,0,6.88174e-18,0,3.12892e-25,0,5.89637e-25,0,2.0515e-25,0,2.91064e-25,0,0,0,9.84538e-25,0,4.33803e-14,0,7.52199e-20,0,6.62961e-10,0,2.69165e-21,0,2.46937e-20,0,3.49742e-29,0,2.03364e-27,0,1.8037e-27,0,6.41036e-28,0,3.82765e-25,0,2.07593e-34,0,1.03883e-05,0,1173,0,1.03892e-05,0,101325,0
7,0.0105,4.89659e-15,0,1.27919e-11,0,4.14766e-11,0,3.99209e-11,0,4.86212e-12,0,9.9368e-12,0,4.15936e-11,0,5.03082e-11,0,5.48755e-14,0,9.14215e-11,0,8.70095e-18,0,5.08853e-25,0,9.43224e-25,0,2.74555e-25,0,4.63929e-25,0,0,0,1.54091e-24,0,5.48798e-14,0,9.74944e-20,0,7.1422e-10,0,5.5959e-21,0,3.3637e-20,0,7.09486e-29,0,4.81067e-27,0,2.41376e-27,0,1.29598e-27,0,6.66416e-25,0,4.99431e-34,0,1.03882e-05,0,1173,0,1.03892e-05,0,101325,0
8,0.012,1.0368e-15,0,8.97796e-12,0,3.61225e-11,0,4.18193e-11,0,4.871e-12,0,6.49857e-12,0,3.42921e-11,0,5.03098e-11,0,6.71781e-14,0,1.25475e-10,0,1.06456e-17,0,7.75538e-25,0,1.41283e-24,0,3.49122e-25,0,6.91788e-25,0,0,0,2.28695e-24,0,6.71834e-14,0,1.22372e-19,0,7.59384e-10,0,1.00078e-20,0,4.37589e-20,0,1.29031e-28,0,1.00964e-26,0,3.06915e-27,0,2.37402e-27,0,1.06093e-24,0,1.06374e-33,0,1.03882e-05,0,1173,0,1.03892e-05,0,101325,0
9,0.0135,2.19531e-16,0,6.30048e-12,0,3.08892e-11,0,4.22571e-11,0,4.86021e-12,0,4.24929e-12,0,2.7767e-11,0,4.8544e-11,0,8.01878e-14,0,1.60299e-10,0,1.27006e-17,0,1.12452e-24,0,2.01201e-24,0,4.28045e-25,0,9.79816e-25,0,0,0,3.25792e-24,0,8.01941e-14,0,1.49566e-19,0,7.98994e-10,0,1.60849e-20,0,5.49303e-20,0,2.16426e-28,0,1.93327e-26,0,3.76277e-27,0,4.03143e-27,0,1.58068e-24,0,2.06402e-33,0,1.03881e-05,0,1173,0,1.03892e-05,0,101325,0
