Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv,Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags,Err,Max num coags,Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0015,15,0,1.41903e+15,0,6.30818e-10,0,6.30818e-10,0,6.30818e-10,0,0.00177399,0,1.25014e-18,0,1.86511e-13,0,1.31435e-28,0,4.10323e-10,0,2.89157e-25,0,1.18648e-34,0,3.43079e-59,0,0,0,0,0,2.83807e+09,0,2,0,2.83807e+09,0,1.41903e+09,0,8.5142e+09,0,1,0,0.630818,0,0,0,2.89157e-25,0,0,0,0.000144252,0,0.00135575,0
2,0.003,1817,0,1.67649e+17,0,6.36219e-10,0,6.36219e-10,0,6.36219e-10,0,0.213572,0,1.27392e-18,0,2.2736e-11,0,1.35617e-28,0,5.00193e-08,0,2.98357e-25,0,1.52815e-32,0,4.86314e-57,0,0.0249224,0,2,0,3.48952e+11,0,2.08144,0,3.49046e+11,0,1.81413e+11,0,1.02488e+12,0,1,0,0.636219,0,0,0,2.98357e-25,0,0,0,0.000384555,0,0.0026228,0
3,0.0045,14353,0,9.56968e+17,0,6.88414e-10,0,6.88414e-10,0,6.88414e-10,0,1.45657,0,1.52207e-18,0,1.75452e-10,0,1.83341e-28,0,3.85994e-07,0,4.03351e-25,0,2.05771e-31,0,1.57419e-55,0,0.354414,0,7,0,2.87184e+12,0,3.00098,0,2.87415e+12,0,1.71988e+12,0,7.30945e+12,0,1,0,0.688414,0,0,0,4.03351e-25,0,0,0,0.000758244,0,0.00391738,0
4,0.006,16384,0,1.38551e+18,0,7.87564e-10,0,7.87564e-10,0,7.87564e-10,0,2.92523,0,2.11131e-18,0,4.56721e-10,0,3.29643e-28,0,1.00479e-06,0,7.25214e-25,0,1.65317e-30,0,4.894e-54,0,0.979546,0,16,0,8.15698e+12,0,5.88737,0,8.17768e+12,0,6.74532e+12,0,1.5743e+13,0,1,0,0.787564,0,0,0,7.25214e-25,0,0,0,0.00112076,0,0.00543866,0
5,0.0075,16384,0,1.49619e+18,0,8.62128e-10,0,8.62128e-10,0,8.62128e-10,0,4.09785,0,2.73886e-18,0,8.28039e-10,0,5.53432e-28,0,1.82169e-06,0,1.21755e-24,0,8.63206e-30,0,7.71304e-53,0,1.52344,0,34,0,1.57031e+13,0,10.4954,0,1.57782e+13,0,1.66184e+13,0,2.28387e+13,0,1,0,0.862128,0,0,0,1.21755e-24,0,0,0,0.00128838,0,0.00704002,0
6,0.009,16384,0,1.52294e+18,0,9.04472e-10,0,9.04472e-10,0,9.04472e-10,0,4.9808,0,3.27051e-18,0,1.25625e-09,0,8.24885e-28,0,2.76376e-06,0,1.81475e-24,0,3.12005e-29,0,6.67462e-52,0,1.97435,0,50,0,2.48374e+13,0,16.3088,0,2.50192e+13,0,3.03562e+13,0,2.80222e+13,0,1,0,0.904472,0,0,0,1.81475e-24,0,0,0,0.00135882,0,0.00858837,0
7,0.0105,16384,0,1.53775e+18,0,9.20035e-10,0,9.20035e-10,0,9.20035e-10,0,5.62919,0,3.66067e-18,0,1.71846e-09,0,1.11752e-27,0,3.7806e-06,0,2.45853e-24,0,8.78894e-29,0,3.79389e-51,0,2.3553,0,74,0,3.50062e+13,0,22.7646,0,3.53454e+13,0,4.67227e+13,0,3.15882e+13,0,1,0,0.920035,0,0,0,2.45853e-24,0,0,0,0.00135666,0,0.0101159,0
8,0.012,16384,0,1.44763e+18,0,9.49051e-10,0,9.49051e-10,0,9.49051e-10,0,6.03897,0,4.17161e-18,0,2.19138e-09,0,1.51377e-27,0,4.82104e-06,0,3.33029e-24,0,2.0087e-28,0,1.5306e-50,0,2.9169,0,125,0,4.55989e+13,0,31.4989,0,4.61568e+13,0,6.44337e+13,0,3.39234e+13,0,1,0,0.949051,0,0,0,3.33029e-24,0,0,0,0.00142874,0,0.0116202,0
9,0.0135,16384,0,1.37939e+18,0,9.6362e-10,0,9.6362e-10,0,9.6362e-10,0,6.32089,0,4.58238e-18,0,2.65997e-09,0,1.92836e-27,0,5.85193e-06,0,4.2424e-24,0,3.98641e-28,0,4.91155e-50,0,3.41868,0,177,0,5.61804e+13,0,40.7284,0,5.70033e+13,0,8.25888e+13,0,3.5444e+13,0,1,0,0.963619,0,3.67057e-07,0,4.2424e-24,0,5.99669e-21,0,0.0014795,0,0.0131182,0
10,0.015,16384,0,1.35812e+18,0,9.57369e-10,0,9.57369e-10,0,9.57369e-10,0,6.5219,0,4.80214e-18,0,3.11614e-09,0,2.29444e-27,0,6.8555e-06,0,5.04777e-24,0,7.14975e-28,0,1.33406e-49,0,3.78702,0,252,0,6.64575e+13,0,48.9333,0,6.75761e+13,0,1.00439e+14,0,3.6736e+13,0,1.00001,0,0.95735,0,4.61719e-06,0,5.04777e-24,0,5.75871e-18,0,0.00148162,0,0.0146134,0
