Weight,Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (cm-3),Num coags,silica,Number of Si atoms,Number of O atoms,Number of OH atoms,Number of primaries,Avg. primary diameter,Avg. Sintering Level
10469,43.2809,104.313,104.313,2.20194e-10,4.24511e-17,9.33924e-17,0.727332,3.16604e-06,1181,848756,9953.54,18816.6,1814.92,92,8.34368,0.0587641
7644.27,47.6407,127.29,127.29,3.11408e-10,5.66151e-17,1.24553e-16,0.727332,2.31178e-06,251,1.14668e+06,10830.4,20570,1460.01,114,8.89445,0.0286379
12282.3,40.971,89.0229,89.0229,1.68904e-10,3.60106e-17,7.92232e-17,0.727332,3.71441e-06,645,718412,10311.8,19938,1626.51,75,8.75595,0.0984372
19412.2,35.0143,71.6071,71.6071,1.12644e-10,2.24769e-17,4.94491e-17,0.727332,5.87061e-06,1882,451480,11054.5,21209.5,1595.73,44,9.21779,0.0818548
15597.4,37.7545,90.4706,90.4706,1.6611e-10,2.81778e-17,6.19911e-17,0.727332,4.71696e-06,102,566837,10355.5,19687,1591.85,59,8.31716,0.0171049
3191.94,64.3245,172.949,172.949,5.73079e-10,1.39357e-16,3.06585e-16,0.727332,9.65306e-07,136,2.77097e+06,10119.9,19630.4,1504.98,296,8.3272,0.0903265
6915.22,49.721,125.857,125.857,3.1278e-10,6.43605e-17,1.41593e-16,0.727332,2.0913e-06,1227,1.2772e+06,9920.47,19343.3,1498.6,139,8.40754,0.0684821
29184.3,30.6734,66.7127,66.7127,9.48077e-11,1.51107e-17,3.32434e-17,0.727332,8.82589e-06,1603,306641,9964.45,18900.7,1442.97,33,7.96632,0
6785.34,50.015,140.488,140.488,3.69965e-10,6.55088e-17,1.44119e-16,0.727332,2.05202e-06,1462,1.29873e+06,9777.02,19126.7,1555.8,143,8.12654,0.0261968
13210.8,40.1091,99.0347,99.0347,1.96089e-10,3.37854e-17,7.43278e-17,0.727332,3.99519e-06,605,675299,9311.45,17993.7,1445.88,78,7.26178,0.0309345
27277.1,31.2711,61.7197,61.7197,8.51838e-11,1.60114e-17,3.52251e-17,0.727332,8.24912e-06,803,320365,4439.12,8667.78,509.756,78,4.03719,0.165282
4499.83,57.2696,156.293,156.293,4.64538e-10,9.83492e-17,2.16368e-16,0.727332,1.36084e-06,1044,1.9697e+06,10523.7,20234.5,1522.58,202,8.77611,0.061931
3696.45,61.1677,175.637,175.637,5.7192e-10,1.1983e-16,2.63626e-16,0.727332,1.11788e-06,313,2.4108e+06,10641.9,20027.5,1851.76,244,8.76475,0.0541582
8764,46.0733,108.938,108.938,2.42463e-10,5.1209e-17,1.1266e-16,0.727332,2.6504e-06,482,1.00978e+06,8445.55,16637.3,1332.93,129,7.21237,0.0961648
17001,36.7144,88.3426,88.3426,1.5806e-10,2.59124e-17,5.70073e-17,0.727332,5.14144e-06,1531,514794,10646.9,21112.8,1384.06,52,8.8319,0
6484.28,50.767,142.946,142.946,3.8256e-10,6.85085e-17,1.50719e-16,0.727332,1.96097e-06,541,1.36962e+06,9879.11,19174.5,1473.58,149,8.21844,0.028372
14225.2,38.8279,94.3021,94.3021,1.79268e-10,3.065e-17,6.74301e-17,0.727332,4.30198e-06,1702,618543,10084,19338,1340.3,66,8.26782,0.0222597
4252.25,58.73,175.394,175.394,5.59243e-10,1.06066e-16,2.33346e-16,0.727332,1.28596e-06,910,2.11038e+06,11157.6,21356.7,1995.98,204,9.16556,0.0287777
6661.88,50.2746,132.689,132.689,3.40468e-10,6.65343e-17,1.46375e-16,0.727332,2.01468e-06,1112,1.32726e+06,11007.3,21186.3,1770.68,130,8.83859,0.0446305
3477.9,62.3959,184.237,184.237,6.20575e-10,1.27194e-16,2.79827e-16,0.727332,1.05178e-06,537,2.5535e+06,10670.6,20326.6,1670.53,258,8.68743,0.0474649
9716.29,44.243,106.75,106.75,2.30475e-10,4.53453e-17,9.97597e-17,0.727332,2.93839e-06,216,906799,11351,21765.6,1863.49,86,9.48522,0.0520596
13994.5,39.3704,85.0615,85.0615,1.54645e-10,3.19527e-17,7.02959e-17,0.727332,4.23221e-06,1787,640970,10462.7,19826.4,1793.32,66,8.55862,0.0896117
16865.2,37.0427,86.1771,86.1771,1.52964e-10,2.66137e-17,5.85502e-17,0.727332,5.10038e-06,3285,522233,10106.2,19959,1564.86,56,8.66435,0.0276688
15287.5,38.124,86.9556,86.9556,1.57288e-10,2.90131e-17,6.38287e-17,0.727332,4.62325e-06,706,580729,11180,21372.8,1800.05,56,9.16156,0.0391585
14408.9,39.0626,90.385,90.385,1.68723e-10,3.12092e-17,6.86601e-17,0.727332,4.35755e-06,1197,614113,10347,20496,1627.95,64,8.86397,0.0454886
